,Recon Loss,Learning Rate,DetEval,batch size,hidden size,latent size,fixed variance,dropout rate,L2 weight,noise layer std,optimizer,nonlinearity,residual user info,RMSE
194,MSE,5e-05,True,128.0,4096.0,2048.0,0.1,0.0,0.001,0.3,Adam,LeakyRelu,False,1.1387991905212402
195,Likelihood,5e-05,True,32.0,1024.0,2048.0,0.5,0.1,0.0,0.3,Adagrad,Tanh,False,1.3200006484985352
196,MSE,5e-05,True,128.0,4096.0,2048.0,0.3,0.1,0.0,0.3,Adagrad,Tanh,False,1.1961857080459597
197,Likelihood,5e-05,False,128.0,1024.0,2048.0,0.5,0.1,0.0001,0.5,Adam,Sigmoid,True,1.24141263961792
198,Likelihood,0.0001,True,32.0,1024.0,512.0,0.3,0.5,0.0,0.0,Adagrad,Relu,False,1.4490110874176023
199,MSE,5e-05,False,64.0,2048.0,2048.0,0.1,0.5,0.0001,0.0,Adam,LeakyRelu,False,1.2644479274749756
200,Likelihood,0.0001,True,32.0,4096.0,2048.0,0.0,0.0,0.0,0.0,Adam,Tanh,True,0.5487188100814819
201,MSE,0.0001,False,32.0,1024.0,1024.0,0.3,0.1,0.0,0.3,Adagrad,LeakyRelu,True,1.388841986656189
202,Likelihood,5e-06,False,64.0,1024.0,2048.0,0.3,0.1,0.0,0.0,RMSProp,LeakyRelu,True,1.2762088775634766
203,Likelihood,0.0001,True,128.0,2048.0,1024.0,0.0,0.3,0.0,0.5,Adam,Tanh,True,1.0580377578735352
204,MSE,5e-05,True,32.0,2048.0,1024.0,0.3,0.1,0.0,0.5,Adam,Relu,True,1.1549826860427856
